时间,标签,事件,内容
2018.10.22,すべてお知らせ,「クランバトル」にて、モンスター「ティタノタートル」が使用する一部のスキルの挙動が本来と異なる不具合について,プリンセスコネクト！Re:Dive運営事務局です。2018/10/22(月)05:00から開催中の「クランバトル」にて、下記の不具合が発生しておりました。…
2018.10.23,お知らせ,「ぷりこねっ！りだいぶ」第46話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第46話を掲載しました！■4コマ「ぷ…
2018.10.18,お知らせ,「ぷりこねっ！りだいぶ」第45話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第45話を掲載しました！■4コマ「ぷ…
2018.10.19,すべてお知らせアップデート,アップデートのお知らせ【2018/10/19(金),18:22更新】プリンセスコネクト！Re:Dive運営事務局です。2018/10/19(金)18:22にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2018.10.21,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/10/21(日)05:00から、「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2018.10.18,すべてお知らせ,「BGM変更」画面において、［ギルドハウス2F］タブを選択できない不具合について【2018/10/19(金),18:22追記】プリンセスコネクト！Re:Dive運営事務局です。2018/10/18(木)15:00に追加された家具「メモリアルサウンドボックス」において、現在下記の不具…
2018.10.18,すべてお知らせ,期間限定キャラ「ミサキ（ハロウィン）」登場！！,プリンセスコネクト！Re:Dive運営事務局です。期間限定キャラ「ミサキ（ハロウィン）」がピックアップガチャとプラチナガチャから登場！ピックアップガチャでは…
2018.10.18,すべてお知らせ,ギルドハウスに新しい家具を追加！,プリンセスコネクト！Re:Dive運営事務局です。2018/10/18(木)15:00から、ギルドハウスの家具ショップに新しい家具を追加しました！期間限定…
2018.10.18,すべてお知らせ,ギルドハウスに家具「メモリアルサウンドボックス」を追加！,プリンセスコネクト！Re:Dive運営事務局です。2018/10/18(木)15:00から、ギルドハウスの家具ショップに新しい家具「メモリアルサウンドボック…
2018.10.18,すべてお知らせ,スタートダッシュガチャ開催！,プリンセスコネクト！Re:Dive運営事務局です。期間限定でスタートダッシュガチャを開催！スタートダッシュガチャでは、「10回引く」の10キャラ目に、★3キ…
2018.10.18,お知らせ,ダンジョンショップに「ミサトのメモリーピース」を追加！！,プリンセスコネクト！Re:Dive運営事務局です。2018/10/18(木)15:00から、「ダンジョンショップ」のラインナップに「ミサトのメモリーピース」…
2018.10.18,お知らせ,アップデートのお知らせ【2018/10/18(木),15:00更新】プリンセスコネクト！Re:Dive運営事務局です。2018/10/18(木)15:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2018.10.12,お知らせ,「ぷりこねっ！りだいぶ」第43話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第43話を掲載しました！■4コマ「ぷ…
2018.10.15,お知らせ,「ぷりこねっ！りだいぶ」第44話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第44話を掲載しました！■4コマ「ぷ…
2018.10.18,すべてお知らせ,「トリックオアプリン！約束のハロウィンパーティー」開催終了！,プリンセスコネクト！Re:Dive運営事務局です。2018/10/18(木)15:00に、ストーリーイベント「トリックオアプリン！約束のハロウィンパーティー…
2018.10.17,すべてお知らせ,「10月クランバトル」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2018/10/22(月)05:00から、「クランバトル」を開催します！クランバトルでは、期間中に「本戦…
2018.10.13,すべてお知らせ,「10月ルナの塔」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2018/10/13(土)12:00から、高難易度クエスト「ルナの塔」を開催中です！ルナの塔は、各階に出…
2018.10.03,すべてお知らせアップデート,スタミナ回復に必要なジュエルの数および、プレゼントボックスにあるスタミナの受け取り期限変更について,プリンセスコネクト！Re:Dive運営事務局です。2018/10/10(水)05:00から、スタミナ回復に必要なジュエルの数、およびプレゼントボックスにある…
2018.10.10,すべてお知らせアップデート,「スタートダッシュログインキャンペーン」獲得アイテム追加について,プリンセスコネクト！Re:Dive運営事務局です。2018/10/10(水)06:00から、スタートダッシュログインキャンペーンにて獲得できるアイテムに「ス…
2018.10.10,すべてお知らせ,「ダンジョン」マナドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/10/10(水)05:00から、「ダンジョン」マナドロップ量2倍キャンペーンを開始しました！！…
2018.10.10,すべてお知らせメンテナンス,2018/10/10(水),メンテナンス終了のお知らせプリンセスコネクト！Re:Dive運営事務局です。下記の期間にて、アップデートのため実施しておりましたメンテナンスが終了いたしました。■メンテナンス期間2…
2018.10.09,すべてお知らせ,「10月ルナの塔」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2018/10/13(土)12:00から、高難易度クエスト「ルナの塔」の開催が決定しました！ルナの塔は、…
2018.09.30,すべてお知らせ,期間限定キャラ「シノブ（ハロウィン）」登場！！,プリンセスコネクト！Re:Dive運営事務局です。期間限定キャラ「シノブ（ハロウィン）」がピックアップガチャとプラチナガチャから登場！ピックアップガチャでは…
2018.09.30,すべてお知らせ,「トリックオアプリン！約束のハロウィンパーティー」開催中！【2018/10/06(土),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。2018/09/30(日)12:00から、ストーリーイベント「トリックオアプリン！約束のハロウィンパーティ…
2018.10.03,すべてお知らせメンテナンス,2018/10/10(水),メンテナンス実施のお知らせプリンセスコネクト！Re:Dive運営事務局です。下記の期間、アップデートのため、メンテナンスを実施いたします。■メンテナンス期間2018/10/10(水…
2018.10.09,すべてお知らせ,「共闘」コンテンツの終了について,プリンセスコネクト！Re:Dive運営事務局です。このたび、皆様によりお楽しみいただけるコンテンツをご提供するために協議を進めた結果、2018年11月初旬をも…
2018.10.09,お知らせ,「ぷりこねっ！りだいぶ」第42話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第42話を掲載しました！■4コマ「ぷ…
2018.10.04,すべてお知らせアップデート,アップデートのお知らせ【2018/10/04(木),14:45追記】プリンセスコネクト！Re:Dive運営事務局です。2018/10/04(木)12:00にアップデートを行いました。※強制アップデートは、2018/10/0…
2018.10.04,すべてお知らせ,ゲームにアクセスがしづらい現象について,プリンセスコネクト！Re:Dive運営事務局です。現在、キャリアにおけるネットワーク障害により、ゲームにアクセスがしづらい現象を確認しております。エラーが発…
2018.09.30,すべてお知らせ,「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/30(日)12:00から、「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーンを…
2018.10.01,すべてお知らせ,9月「クランバトル」開催期間終了！【2018/10/01(月),17:00追記】プリンセスコネクト！Re:Dive運営事務局です。2018/09/30(日)23:59に、9月「クランバトル」の開催期間が終了しました。クランランキングの…
2018.10.02,すべてお知らせメンテナンス,「2018/10/09(火),02:00～08:40」に行われるDMM.com全体メンテナンスについてプリンセスコネクト！Re:Dive運営事務局です。下記の期間、DMM.comの全体メンテナンスが実施されます。■メンテナンス期間2018/10/09(火)…
2018.10.03,お知らせ,「ぷりこねっ！りだいぶ」第41話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第41話を掲載しました！■4コマ「ぷ…
2018.09.28,お知らせ,「ぷりこねっ！りだいぶ」第40話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第40話を掲載しました！■4コマ「ぷ…
2018.09.30,すべてお知らせ,アップデートのお知らせ【2018/09/30(日),12:00更新】プリンセスコネクト！Re:Dive運営事務局です。2018/09/30(日)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2018.09.30,すべてお知らせ,「ジュエル購入」に「毎月更新,ジュエル7500個」を追加！プリンセスコネクト！Re:Dive運営事務局です。2018/09/30(日)12:00から、「ジュエル購入」に「毎月更新ジュエル7500個」を追加いたし…
2018.09.30,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/30(日)05:00から、「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペー…
2018.09.18,すべてお知らせイベント,「プリンセスコネクト！Re:Dive,公式生放送2018秋～収穫の秋！プリコネ最新情報詰め合わせ！～」放送のお知らせ【2018/09/25(火)22:4…プリンセスコネクト！Re:Dive運営事務局です。「プリンセスコネクト！Re:Dive公式生放送2018秋～収穫の秋！プリコネ最新情報詰め合わせ！～」…
2018.09.27,お知らせ,「ぷりこねっ！りだいぶ」第39話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第39話を掲載しました！■4コマ「ぷ…
2018.09.26,お知らせグッズ,「プリンセスコネクト！Re:Dive」キャラクターソングCD第5弾発売開始のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2018/09/26(水)から、「プリンセスコネクト！Re:DivePRICONNECHARACTER…
2018.09.26,すべてお知らせ,ストーリーイベント「トリックオアプリン！約束のハロウィンパーティー」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/30(日)12:00から、ストーリーイベント「トリックオアプリン！約束のハロウィンパーティ…
2018.09.22,すべてお知らせ,「クランバトル」における不具合について,プリンセスコネクト！Re:Dive運営事務局です。2018/09/21(金)05:00から開催中の「クランバトル」において、バトル中に05:00を跨いだ場合…
2018.09.26,お知らせ,「ぷりこねっ！りだいぶ」第38話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第38話を掲載しました！■4コマ「ぷ…
2018.09.21,すべてお知らせ,「9月クランバトル」開催！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/21(金)05:00から、「クランバトル」を開催中です！クランバトルでは、期間中に「本戦…
2018.09.21,お知らせ,「プリンセスコネクト！Re:Dive×パセラコラボカフェ」開催決定のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2018/09/27(木)から、「プリンセスコネクト！Re:Dive」とパセラのコラボカフェがオープンします…
2018.09.18,すべてお知らせ,新キャラ「マツリ」登場！！,新キャラ「マツリ」がピックアップガチャとプラチナガチャから登場！！ピックアップガチャでは新キャラ「マツリ」に加えて、種族「獣人族」の一部キャラの提供割合もアッ…
2018.09.21,お知らせ,「ぷりこねっ！りだいぶ」第37話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第37話を掲載しました！■4コマ「ぷ…
2018.09.25,すべてお知らせ,「ハードクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/25(火)05:00から、「ハードクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2018.09.18,すべてアップデート,ギルドハウスに新しい家具を追加！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/18(火)15:00から、ギルドハウスの家具ショップに新しい家具を追加しました！王宮を思…
2018.09.20,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/20(木)05:00から、「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2018.09.14,お知らせ,「ぷりこねっ！りだいぶ」第35話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第35話を掲載しました！■4コマ「ぷ…
2018.09.19,お知らせ,「ぷりこねっ！りだいぶ」第36話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第36話を掲載しました！■4コマ「ぷ…
2018.09.18,すべてお知らせ,「黒鉄の亡霊（ナイトメア）」開催終了！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/18(火)15:00に、ストーリーイベント「黒鉄の亡霊（ナイトメア）」の開催期間が終了しま…
2018.09.13,すべてお知らせ,新クエスト「ルナの塔」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/13(木)12:00から、高難易度の新クエスト「ルナの塔」を開催中です！ルナの塔は、各階…
2018.09.18,すべてお知らせアップデート,アップデートのお知らせ【2018/09/18(火),15:00更新】プリンセスコネクト！Re:Dive運営事務局です。2018/09/18(火)15:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2018.09.16,すべてお知らせ,「9月クランバトル」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/21(金)05:00から、「クランバトル」を開催します！クランバトルでは、期間中に「本戦…
2018.09.06,すべてお知らせ,新クエスト「ルナの塔」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/13(木)12:00から、高難易度の新クエスト「ルナの塔」の開催が決定しました！ルナの塔…
2018.09.10,お知らせ,「ぷりこねっ！りだいぶ」第34話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第34話を掲載しました！■4コマ「ぷ…
2018.09.11,すべてお知らせアップデート,アップデートのお知らせ【2018/09/11(火),12:10公開】プリンセスコネクト！Re:Dive運営事務局です。2018/09/11(火)12:10に、DMMGAMES版のアップデートを行いました。修正した不具合の…
2018.09.10,すべてお知らせ,「ダンジョン」マナドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/09/10(月)05:00から、「ダンジョン」マナドロップ量2倍キャンペーンを開始しました！！…
2018.09.10,すべてお知らせアップデート,アップデートのお知らせ【2018/09/10(月),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2018/09/10(月)12:00にアップデートを行いました。※強制アップデートは、2018/09/1…
2018.09.01,すべてお知らせ,8月「クランバトル」開催期間終了！【2018/09/03(月),17:00追記】プリンセスコネクト！Re:Dive運営事務局です。2018/08/31(金)23:59に、8月「クランバトル」の開催期間が終了しました。クランランキングの…
2018.09.05,お知らせ,「ぷりこねっ！りだいぶ」第33話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第33話を掲載しました！■4コマ「ぷ…
2018.08.31,すべてお知らせ,新キャラ「トモ」登場！！,新キャラ「トモ」がピックアップガチャとプラチナガチャから登場！ピックアップガチャでは「トモ」の提供割合がアップします。■ピックアップガチャ開催期間2018…
2018.09.03,すべてお知らせ,「ニコニコスマホSDK」サポート終了のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。このたび、提供元である「ニコニコスマホSDK」のサポートが終了するため、2018/09/10(月)公開予定の…
2018.08.31,すべてお知らせ,ギルドハウスアイテム「なりきりおにぎり」プレゼントのお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2018/06/25(月)に放送した「プリンセスコネクト！Re:Dive新イベント発表＆ラジオ1周年記念生…
2018.09.03,お知らせ,「プリンセスコネクト！Re:Dive」カラオケ配信に関するお知らせ,プリンセスコネクト！Re:Dive運営事務局です。「プリンセスコネクト！Re:Dive」のメインテーマ曲「LostPrincess」と、ラジオのテーマ曲「…
2018.08.31,すべてお知らせアップデート,アップデートのお知らせ【2018/08/31(金),13:37追記】プリンセスコネクト！Re:Dive運営事務局です。2018/08/31(金)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2018.08.31,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/08/31(金)05:00から、「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペー…
2018.08.27,すべてお知らせアップデート,アップデートのお知らせ【2018/08/27(月),15:00更新】プリンセスコネクト！Re:Dive運営事務局です。2018/08/27(月)15:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2018.08.31,すべてお知らせ,ストーリーイベント「黒鉄の亡霊（ナイトメア）」開催中！【2018/09/06(木),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。2018/8/31(金)12:00から、ストーリーイベント「黒鉄の亡霊（ナイトメア）」を開催中です！イベ…
2018.08.24,お知らせ,「ぷりこねっ！りだいぶ」第30話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第30話を掲載しました！■4コマ「ぷ…
2018.08.28,お知らせ,「ぷりこねっ！りだいぶ」第31話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第31話を掲載しました！■4コマ「ぷ…
2018.08.27,すべてお知らせ,ストーリーイベント「黒鉄の亡霊（ナイトメア）」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2018/08/31(金)12:00から、ストーリーイベント「黒鉄の亡霊（ナイトメア）」の開催が決定しまし…
2018.08.23,すべてお知らせアップデート,アップデートのお知らせ【2018/08/23(木),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2018/08/23(木)12:00にアップデートを行いました。※強制アップデートは、2018/08/2…
2018.08.29,お知らせ,「ぷりこねっ！りだいぶ」第32話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第32話を掲載しました！■4コマ「ぷ…
2018.08.21,すべてお知らせ,DMM,GAMES版において、正常にガチャ詳細ページを開けない不具合についてプリンセスコネクト！Re:Dive運営事務局です。2018/08/21(火)15:00～15:42に、下記の不具合が発生しておりました。・DMMGA…
2018.08.21,すべてお知らせ,Half,Anniversaryガチャ開催！！プリンセスコネクト！Re:Dive運営事務局です。2018/08/21(火)15:00から、「HalfAnniversaryガチャ」を開始いたします！！…
2018.08.25,すべてお知らせ,「ハードクエスト」ドロップ量3倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/08/25(土)05:00から、「ハードクエスト」ドロップ量3倍キャンペーンを開始しました！！…
2018.08.22,すべてお知らせ,「8月クランバトル」開催！【2018/08/23(木),12:30追記】プリンセスコネクト！ReDive運営事務局です。2018/08/22(水)05:00から、「クランバトル」を開催中です！今回のクランバトルから、新たに「ス…
2018.08.27,すべてお知らせアップデート,アップデートのお知らせ【2018/08/27(月),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2018/08/27(月)12:00にアップデートを行いました。※強制アップデートは、2018/08/2…
2018.08.21,すべてお知らせ,「ノーマルクエスト」ドロップ量3倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/08/21(火)05:00から、「ノーマルクエスト」ドロップ量3倍キャンペーンを開始しました！！…
2018.08.21,すべてお知らせアップデート,アップデートのお知らせ【2018/08/21(火),18:15追記】プリンセスコネクト！Re:Dive運営事務局です。2018/08/21(火)15:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2018.08.21,すべてお知らせ,「Half,Anniversaryキャンペーン」第2弾開催！！プリンセスコネクト！Re:Dive運営事務局です。2018/08/21(火)05:00から、「HalfAnniversaryキャンペーン」第2弾を開催中…
2018.08.14,すべてお知らせメンテナンス,2018/08/20(月),メンテナンス実施のお知らせプリンセスコネクト！Re:Dive運営事務局です。2018/08/20(月)12:00から、メンテナンスを実施いたします。本メンテナンスでは、バトルアリー…
2018.08.20,すべてお知らせ,1日1回10連ガチャ無料キャンペーン開催のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2018/08/21(火)05:00から、「1日1回10連ガチャ無料キャンペーン」を開催します！！キャン…
2018.08.20,すべてお知らせ,クランバトルにて、一部の画面が正しく表示されない不具合について【2018/08/20(月),17:50追記】プリンセスコネクト！Re:Dive運営事務局です。現在、下記の不具合を確認しております。・クランバトルにて、一部の画面が正しく表示されない。本現象に関して…
2018.08.20,すべてお知らせアップデート,バトルアリーナ,リセット＆シャッフル実施！【2018/08/20(月)21:30追記】プリンセスコネクト！Re:Dive運営事務局です。2018/08/20(月)12:00～17:00に実施していたメンテナンスにて、バトルアリーナにおける…
2018.08.20,すべてお知らせメンテナンス,2018/08/20(月)メンテナンス終了のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。下記の期間、バトルアリーナにおけるグループのシャッフル、およびランキングの順位リセットを実施していたメンテナ…
2018.08.17,お知らせ,「ぷりこねっ！りだいぶ」第29話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第29話を掲載しました！■4コマ「ぷ…
2018.08.19,お知らせ,「タマキとミフユの無人島０ルピ生活」開催終了！,プリンセスコネクト！Re:Dive運営事務局です。2018/08/19(日)15:00に、ストーリーイベント「タマキとミフユの無人島０ルピ生活」の開催期間が…
2018.08.16,すべてお知らせ,iOS版において、ジュエルを購入する際に、エラーが発生し進行不可になる現象について,プリンセスコネクト！Re:Dive運営事務局です。現在、iOS版において、ジュエルを購入する際に、エラーが発生し進行不可になる現象を確認しております。本現象…
2018.08.17,すべてお知らせ,「8月クランバトル」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2018/08/22(水)05:00から、「クランバトル」を開催します！今回のクランバトルから、新たに「…
2018.08.15,すべてお知らせアップデート,アップデートのお知らせ【2018/08/15(水),19:07追記】プリンセスコネクト！Re:Dive運営事務局です。2018/08/15(水)15:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2018.08.15,すべてお知らせ,アリーナショップに「アヤネのメモリーピース」を追加！！,プリンセスコネクト！Re:Dive運営事務局です。2018/08/15(水)15:00から、アリーナショップのラインナップに「アヤネのメモリーピース」を追加…
2018.08.14,すべてお知らせ,バトルアリーナにおけるグループのシャッフル、およびランキングの順位リセットのお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2018/08/20(月)12:00～17:00に実施予定のメンテナンスにて、バトルアリーナにおけるグ…
2018.08.15,すべてお知らせ,「Half,Anniversaryキャンペーン」第1弾開催！プリンセスコネクト！Re:Dive運営事務局です。2018/08/15(水)05:00から、「HalfAnniversaryキャンペーン」第1弾を開催中…
2018.08.15,すべてアップデート,ギルドハウスに新しい家具を追加！,プリンセスコネクト！Re:Dive運営事務局です。2018/08/15(水)15:00から、ギルドハウスの家具ショップに新しい家具を追加しました期間限定で…
2018.08.15,すべてお知らせ,「探索」ドロップ量3倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/08/15(水)05:00から、「探索」ドロップ量3倍キャンペーンを開始しました！！キャンペー…
2018.08.10,すべてお知らせ,「Android,9.0」での動作についてプリンセスコネクト!Re:Dive運営事務局です。「Android9.0」以降のバージョンにアップデートを行った場合、一部の動作において正常に動作しないなど…
2018.08.09,すべてお知らせアップデート,アップデートのお知らせ【2018/08/09(木),12:40更新】プリンセスコネクト！Re:Dive運営事務局です。2018/08/09(木)12:00にアップデートを行いました。※強制アップデートは、2018/08/1…
2018.08.13,お知らせ,「ぷりこねっ！りだいぶ」第28話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第28話を掲載しました！■4コマ「ぷ…
2018.08.10,すべてお知らせ,「ダンジョン」マナドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/08/10(金)05:00から、「ダンジョン」マナドロップ量2倍キャンペーンを開始しました！！…
2018.08.03,お知らせ,「ぷりこねっ！りだいぶ」第25話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第25話を掲載しました！■4コマ「ぷ…
2018.08.07,お知らせ,「ぷりこねっ！りだいぶ」第27話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第27話を掲載しました！■4コマ「ぷ…
2018.08.06,お知らせ,「ぷりこねっ！りだいぶ」第26話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第26話を掲載しました！■4コマ「ぷ…
2018.07.31,すべてお知らせアップデート,アップデートのお知らせ【2018/07/31(火),12:00追記】プリンセスコネクト！Re:Dive運営事務局です。2018/07/31(火)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2018.07.31,すべてお知らせ,期間限定キャラ「キャル（サマー）」登場！!,期間限定キャラ「キャル（サマー）」がピックアップガチャとプラチナガチャから登場！ピックアップガチャでは、「キャル（サマー）」の提供割合がアップします。※「キ…
2018.08.01,すべてお知らせ,7月「クランバトル」開催期間終了！【2018/08/01(水),17:00追記】プリンセスコネクト！Re:Dive運営事務局です。2018/07/31(火)23:59に、7月「クランバトル」の開催期間が終了しました。クランランキングの…
2018.08.03,すべてお知らせアップデート,アップデートのお知らせ【2018/08/03(金),14:15更新】プリンセスコネクト！Re:Dive運営事務局です。2018/08/03(金)14:15にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2018.07.30,すべてお知らせアップデート,「ダンジョンショップ」ラインナップ変更について,プリンセスコネクト！Re:Dive運営事務局です。2018/07/31(火)12:00から、「ダンジョンショップ」のラインナップを一部変更いたします。変更…
2018.07.31,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/07/31(火)05:00から、「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペー…
2018.08.06,お知らせ,ストーリーイベント「タマキとミフユの無人島０ルピ生活」開催中！【2018/08/06(月),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。2018/7/31(火)12:00から、ストーリーイベント「タマキとミフユの無人島０ルピ生活」を開催中です…
2018.07.25,すべてお知らせグッズ,「プリンセスコネクト！Re:Dive」キャラクターソングCD第4弾発売開始のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2018/07/25(水)から、「プリンセスコネクト！Re:DivePRICONNECHARACTER…
2018.07.27,すべてお知らせアップデート,アップデートのお知らせ【2018/07/27(金),11:45公開】プリンセスコネクト！Re:Dive運営事務局です。2018/07/27(金)11:45にアップデートを行いました。※強制アップデートは、2018/07/3…
2018.07.27,お知らせ,「ぷりこねっ！りだいぶ」第24話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第24話を掲載しました！■4コマ「ぷ…
2018.07.23,お知らせ,「ぷりこねっ！りだいぶ」第22話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第22話を掲載しました！■4コマ「ぷ…
2018.07.26,すべてお知らせ,ストーリーイベント「タマキとミフユの無人島０ルピ生活」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2018/07/31(火)12:00から、ストーリーイベント「タマキとミフユの無人島０ルピ生活」の開催が決…
2018.07.24,お知らせ,「ぷりこねっ！りだいぶ」第23話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第23話を掲載しました！■4コマ「ぷ…
2018.07.25,すべてお知らせ,「ハードクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2018/07/25(水)05:00から、「ハードクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2018.07.13,すべてお知らせメンテナンス,2018/07/20(金)メンテナンス実施およびダンジョン新エリア「蒼海の孤塔(EXTREME)」の追加のお知らせ【追記】,プリンセスコネクト！Re:Dive運営事務局です。2018/07/20(金)13:00から、メンテナンスを実施いたします。本メンテナンスでは、新エリア「蒼…
