时间,标签,事件,内容
2020.03.13,すべてお知らせアップデート,アップデートのお知らせ【2020/03/13(金),15:00更新】プリンセスコネクト！Re:Dive運営事務局です。2020/03/13(金)15:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2020.03.12,すべてお知らせアップデート,コラボイベント後編開始記念プレゼントのお知らせ,プリンセスコネクト！Re:Dive運営事務局です。コラボイベント後編開始を記念して、プレイヤーの皆さまにプレゼントをお贈りいたしました。プレゼントの詳細は下…
2020.03.13,すべてお知らせ,「ダンジョン」マナドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/13(金)05:00から「ダンジョン」マナドロップ量2倍キャンペーンを開始しました！！キ…
2020.03.12,すべてお知らせイベント,ストーリーイベント「スターライトプリンセス,Re:M@STER！」後編開催中！プリンセスコネクト！Re:Dive運営事務局です。2020/03/12(木)15:00から「アイドルマスターシンデレラガールズスターライトステージ」との…
2020.03.12,すべてお知らせイベント,復刻ストーリーイベント「王都の名探偵,嘆きの追跡者（ストーカー）」開催決定！プリンセスコネクト！Re:Dive運営事務局です。2020/03/17(火)12:00から、復刻ストーリーイベント「王都の名探偵嘆きの追跡者（ストーカー）…
2020.03.12,すべてお知らせ,「3月ルナの塔」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/12(木)12:00から、高難易度クエスト「ルナの塔」を開催中です！ルナの塔は、各階に出…
2020.03.11,すべてお知らせイベント,ストーリーイベント「スターライトプリンセス,Re:M@STER！」後編開催予定！プリンセスコネクト！Re:Dive運営事務局です。2020/03/12(木)15:00から、ストーリーイベント「スターライトプリンセスRe:M@STER！…
2020.03.12,すべてお知らせアップデート,アップデートのお知らせ【2020/03/12(木),12:00更新】プリンセスコネクト！Re:Dive運営事務局です。2020/03/12(木)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2020.03.11,すべてお知らせ,「キャラ育成応援キャンペーン」開催決定！！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/16(月)05:00から「キャラ育成応援キャンペーン」を開催します！2020/03/1…
2020.03.11,すべてお知らせアップデート,アップデートのお知らせ【2020/03/11(水),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2020/03/11(水)12:00にアップデートを行いました。※強制アップデートは、2020/03/1…
2020.03.09,すべてお知らせアップデート,アップデートのお知らせ【2020/03/09(月),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2020/03/09(月)12:00にアップデートを行いました。※強制アップデートは、2020/03/1…
2020.03.08,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/08(日)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2020.03.06,お知らせ,「ぷりこねっ！りだいぶ」第168話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第168話を掲載しました！■4コマ「…
2020.03.05,すべてお知らせ,「3月ルナの塔」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/12(木)12:00から、高難易度クエスト「ルナの塔」の開催が決定しました！ルナの塔は、…
2020.03.04,すべてお知らせアップデート,アップデートのお知らせ【2020/03/04(水),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2020/03/04(水)12:00にアップデートを行いました。※強制アップデートは、2020/03/0…
2020.03.04,お知らせ,「ぷりこねっ！りだいぶ」第167話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第167話を掲載しました！■4コマ「…
2020.03.01,すべてお知らせ,復帰・新規プレイヤー限定「100連ガチャ無料キャンペーン」開催！！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/01(日)05:00から復帰・新規プレイヤー限定の「100連ガチャ無料キャンペーン」を開催…
2020.02.29,すべてお知らせ,期間限定キャラ「ウヅキ（デレマス）」登場！ピックアップガチャはおまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。「アイドルマスターシンデレラガールズスターライトステージ」とのコラボキャラ「ウヅキ（デレマス）」が期間限…
2020.02.29,すべてお知らせイベント,ストーリーイベント「スターライトプリンセス,Re:M@STER！」開催中！【2020/03/02(月)12:10追記】プリンセスコネクト！Re:Dive運営事務局です。2020/02/29(土)12:00から「アイドルマスターシンデレラガールズスターライトステージ」との…
2020.02.29,すべてお知らせ,「トゥインクルウィッシュ」の★6才能開花が登場！,プリンセスコネクト！Re:Dive運営事務局です。2020/02/29(土)12:00に、下記キャラの★6才能開花が登場しました。■★6才能開花が登場した…
2020.02.29,すべてアップデート,ダンジョン「緑竜の骸嶺(EXTREME,III)」新エリア追加！プリンセスコネクト！Re:Dive運営事務局です。2020/02/29(土)12:00から、ダンジョンに新エリア「緑竜の骸嶺(EXTREMEIII)」を追…
